analysis,outcome,predictor,n_records,n_proteins,slope,hc3_se,ci95_low,ci95_high,hc3_p,r_squared,spearman_rho,spearman_p
primary_all_source_defined_mics,log10_mic_ug_ml,verified_length_aa,15,11,0.0013535701582484592,0.004060961192447529,-0.007419603117026944,0.010126743433523863,0.7442128599609442,0.036787254692154936,-0.022727610826477517,0.9359217415102593
primary_all_source_defined_mics,log10_mic_ug_ml,idr_length_aa,15,11,0.00015777785994778134,0.0014443207643149646,-0.0029624874491566504,0.003278043169052213,0.9146802314809755,0.00024691424937162143,0.045207956600361664,0.872896600824967
one_record_per_protein_median,log10_mic_ug_ml,verified_length_aa,11,11,0.0007097270642609293,0.00268662437071059,-0.005367839499690252,0.006787293628212111,0.7975981723767539,0.014780956278802382,0.04587349021359836,0.8934587058790112
one_record_per_protein_median,log10_mic_ug_ml,idr_length_aa,11,11,-9.39354427426364e-05,0.0018849577853083082,-0.004358006198350067,0.004170135312864793,0.9613429264403908,0.00019895982133433243,0.17767699855550004,0.6012097556087768
direct_mass_unit_reports,log10_mic_ug_ml,verified_length_aa,11,8,0.001663546244291117,0.004597853621297375,-0.008737521258624406,0.01206461374720664,0.7258435790629579,0.057075615444715844,-0.07209614268047275,0.8331590178224145
direct_mass_unit_reports,log10_mic_ug_ml,idr_length_aa,11,8,-0.0003681911599760478,0.002162887726392729,-0.0052609831225636835,0.0045246008026115885,0.8685935151825325,0.0015830582934414084,-0.42154682345485756,0.1965962395979646
dilution_assay_subset,log10_mic_ug_ml,verified_length_aa,10,8,-0.002087351835416993,0.0014851198134081098,-0.0055120442664097335,0.0013373405955757474,0.19749507948019845,0.19299848175352474,-0.383224062182728,0.2743420557614308
dilution_assay_subset,log10_mic_ug_ml,idr_length_aa,10,8,-0.0006258885588575696,0.0072164449326077625,-0.017267040414924217,0.01601526329720908,0.9330169746433175,0.01400367986133022,-0.6855481498937802,0.028654288838539987
secondary_molar_outcome,log10_mic_nM,verified_length_aa,15,11,0.00013438471113183395,0.004060533883482623,-0.008637865419249161,0.008906634841512828,0.9741013112293145,0.0003779879055026969,-0.19513540711235805,0.4858422526495351
secondary_molar_outcome,log10_mic_nM,idr_length_aa,15,11,-0.0007244498137259745,0.0018800468471738172,-0.004786044095041981,0.0033371444675900316,0.7062196702169982,0.005426414747010666,-0.09703695961799245,0.7308224688186757
