predictor,standardized_slope,ci95_low,ci95_high,p_value,r_squared,fdr_q
molecular_weight_da,0.27037662011650665,-0.2528486230983923,0.7936018633314056,0.28447346968105125,0.11384747571744869,0.8689580455131167
isoelectric_point,-0.12806145339624297,-0.5291920303690437,0.27306912357655777,0.5025091514101798,0.027014938025359703,0.8689580455131167
charge_pH7,-0.0646300586900607,-0.5561447698940623,0.4268846525139409,0.7808306212519793,0.005217376422320008,0.8689580455131167
gravy,-0.16321437576373918,-0.4271547243367291,0.10072597280925075,0.2044920756437489,0.034316535630868006,0.8689580455131167
aromaticity,-0.09951624885105473,-0.6222110453037742,0.42317854760166485,0.6875423238455314,0.015181328353042867,0.8689580455131167
instability_index,0.17757596198303427,-0.18471842522367266,0.5398703491897412,0.3089293582909408,0.05523098357775491,0.8689580455131167
helix_fraction,0.10012255958543254,-0.23782053974292522,0.4380656589137903,0.5332566781542939,0.013591770085612853,0.8689580455131167
turn_fraction,-0.17659867958389908,-0.43881203877139957,0.08561467960360142,0.16939026687372263,0.04674674383864186,0.8689580455131167
sheet_fraction,-0.03217185365461096,-0.40105834145098235,0.33671463414176045,0.8534621812883304,0.0017611905144364615,0.8689580455131167
longest_idr_aa,-0.034646380457528325,-0.20105634221606836,0.1317635813010117,0.6602727038248715,0.0012084736799722329,0.8689580455131167
nterm40_charge_pH7,-0.06043415637192839,-0.23321447485090424,0.11234616210704745,0.4633364184869308,0.0076605154505148265,0.8689580455131167
nterm40_gravy,0.03667275632253929,-0.1497174826744579,0.22306299531953644,0.677745629002864,0.0019888762555517747,0.8689580455131167
domain_isoelectric_point,-0.034720954748374444,-0.4804842138651305,0.41104230436838163,0.8689580455131167,0.002293278517717323,0.8689580455131167
