predictor,analysis,standardized_slope,approximate_se,wald_ci95_low,wald_ci95_high,converged,omitted,family
length_aa,unadjusted,-0.559510100510891,0.1774519353828856,-0.9073158938613468,-0.21170430716043526,True,,
length_aa,adjusted for family,-0.04649984726439432,0.5478577218033988,-1.1203009819990557,1.0273012874702672,True,,
length_aa,adjusted for assay_group,0.4640978980968146,0.2859799628769092,-0.0964228291419274,1.0246186253355567,True,,
length_aa,adjusted for family and assay_group,0.6195910730896628,0.48840992484043183,-0.3376923795975836,1.5768745257769092,True,,
length_aa,leave one study out,-0.6205273116400062,,,,True,10.1016/j.febslet.2010.06.021,
length_aa,leave one study out,-0.563888540287957,,,,True,10.1371/journal.pone.0185782,
length_aa,leave one study out,-0.5748567895986356,,,,True,10.1371/journal.ppat.1003199,
length_aa,leave one study out,-0.5812873508054507,,,,True,10.1371/journal.ppat.1003898,
length_aa,leave one study out,-0.5561511186908248,,,,True,10.1074/jbc.M112.400150,
length_aa,leave one study out,-0.6291018650608482,,,,True,10.1038/s41598-019-51969-1,
length_aa,leave one study out,-0.2597757368550423,,,,True,10.1002/mbo3.210,
length_aa,leave one study out,-0.7231875565880533,,,,True,10.1002/mbo3.339,
length_aa,leave one study out,0.11135477601595715,,,,True,10.1111/j.1365-2958.2009.06788.x,
length_aa,within family,0.03749800408093394,,,,True,,pore-forming
length_aa,within family,0.04323360739914648,,,,True,,ColM-like
length_aa,within family,-0.11984929380874747,,,,True,,lectin-like
length_aa,within family,-0.016380464398600966,,,,True,,nuclease
domain_length_aa,unadjusted,0.2222046379503159,0.1558237846611169,-0.08320997998547322,0.527619255886105,True,,
domain_length_aa,adjusted for family,-0.009474420655556424,0.17700770210770317,-0.3564095167866546,0.33746067547554176,True,,
domain_length_aa,adjusted for assay_group,-0.044330069470729164,0.1255454538513611,-0.2903991590193969,0.2017390200779386,True,,
domain_length_aa,adjusted for family and assay_group,0.08860884975674005,0.13819653151483943,-0.18225635201234525,0.35947405152582534,True,,
domain_length_aa,leave one study out,0.21264648803065292,,,,True,10.1016/j.febslet.2010.06.021,
domain_length_aa,leave one study out,0.2353859104195542,,,,True,10.1371/journal.pone.0185782,
domain_length_aa,leave one study out,0.24501273010912802,,,,True,10.1371/journal.ppat.1003199,
domain_length_aa,leave one study out,0.23921117518960042,,,,True,10.1371/journal.ppat.1003898,
domain_length_aa,leave one study out,0.23127740671822797,,,,True,10.1074/jbc.M112.400150,
domain_length_aa,leave one study out,0.23686706435839083,,,,True,10.1038/s41598-019-51969-1,
domain_length_aa,leave one study out,-0.017156553418080773,,,,True,10.1002/mbo3.210,
domain_length_aa,leave one study out,0.3259480302785648,,,,True,10.1002/mbo3.339,
domain_length_aa,leave one study out,0.023314849952308057,,,,True,10.1111/j.1365-2958.2009.06788.x,
domain_length_aa,within family,0.19513898752366513,,,,True,,pore-forming
domain_length_aa,within family,0.19924163576545806,,,,True,,ColM-like
domain_length_aa,within family,0.04784535134095138,,,,True,,lectin-like
domain_length_aa,within family,-1.036707354225816,,,,True,,nuclease
idr_fraction,unadjusted,-0.766945741272153,0.17319536190577975,-1.1064086506074813,-0.4274828319368247,True,,
idr_fraction,adjusted for family,-0.857588342332132,0.33750361773882465,-1.5190954331002282,-0.19608125156403566,True,,
idr_fraction,adjusted for assay_group,-0.0021727601605405476,0.2783101968285088,-0.5476607459444178,0.5433152256233367,True,,
idr_fraction,adjusted for family and assay_group,-0.2907228742056074,0.30436869744725076,-0.8872855212022188,0.30583977279100405,True,,
idr_fraction,leave one study out,-0.7649804474033816,,,,True,10.1016/j.febslet.2010.06.021,
idr_fraction,leave one study out,-0.7754714899444604,,,,True,10.1371/journal.pone.0185782,
idr_fraction,leave one study out,-0.7876079095168953,,,,True,10.1371/journal.ppat.1003199,
idr_fraction,leave one study out,-0.7840184678187779,,,,True,10.1371/journal.ppat.1003898,
idr_fraction,leave one study out,-0.7773403158913275,,,,True,10.1074/jbc.M112.400150,
idr_fraction,leave one study out,-0.9035937947430696,,,,True,10.1038/s41598-019-51969-1,
idr_fraction,leave one study out,-0.5597930306961614,,,,True,10.1002/mbo3.210,
idr_fraction,leave one study out,-0.8464762165473012,,,,True,10.1002/mbo3.339,
idr_fraction,leave one study out,-0.06741517471195967,,,,True,10.1111/j.1365-2958.2009.06788.x,
idr_fraction,within family,-0.24045427546164155,,,,True,,pore-forming
idr_fraction,within family,0.06660459614804301,,,,True,,ColM-like
idr_fraction,within family,-0.07401853866242897,,,,True,,lectin-like
idr_fraction,within family,-1.3230847898708262,,,,True,,nuclease
nterm40_idr_fraction,unadjusted,-0.7363246208321422,0.16627818624370713,-1.0622298658698082,-0.41041937579447624,True,,
