predictor,omission_type,omitted,n_records,n_proteins,standardized_slope,p_value
length_aa,bacteriocin,Pyocin S5,33,13,0.34550829132069755,0.6327771387687111
length_aa,bacteriocin,PaeM4,34,13,0.2787557894351238,0.49128501250782186
length_aa,bacteriocin,LlpA BW11M1,34,13,0.25743278812634063,0.5123703748749849
length_aa,bacteriocin,Pyocin L1,26,13,0.3173092661394971,0.43525325637599477
length_aa,bacteriocin,Syringacin M,34,13,0.2755040359679688,0.48172047277016605
length_aa,bacteriocin,KpneA,34,13,0.30142343340182676,0.4553349341465107
length_aa,bacteriocin,KaerA,34,13,0.31337255242573847,0.42992751057334266
length_aa,bacteriocin,KvarIa,34,13,0.3003867757161751,0.47392860578603757
length_aa,bacteriocin,KvarM,33,13,0.25323725671685365,0.51986444712972
length_aa,bacteriocin,KpneM,33,13,0.26896554742898454,0.4932690441941745
length_aa,bacteriocin,KpneM2,34,13,0.27090723698251773,0.4886844212464292
length_aa,bacteriocin,Pyocin L2,29,13,0.3206061771948756,0.4139242371115618
length_aa,bacteriocin,Pyocin L3,29,13,0.27096384088569514,0.4910101783491272
length_aa,bacteriocin,Pyocin S6,34,13,-0.05428826370763078,0.8319532875246075
length_aa,doi,10.1016/j.febslet.2010.06.021,34,14,0.19085658109716874,0.7494746980754885
length_aa,doi,10.1371/journal.pone.0185782,33,13,0.445334695897436,0.26014147819792266
length_aa,doi,10.1371/journal.ppat.1003199,34,13,0.25743278812634063,0.5123703748749849
length_aa,doi,10.1371/journal.ppat.1003898,33,14,0.2580543321804292,0.5095266935499416
length_aa,doi,10.1074/jbc.M112.400150,34,13,0.2755040359679688,0.48172047277016605
length_aa,doi,10.1038/s41598-019-51969-1,27,8,0.43666158853374915,0.3912838746073183
length_aa,doi,10.1002/mbo3.210,16,12,0.4880601959563332,0.24183115695167368
length_aa,doi,10.1002/mbo3.339,34,13,-0.05428826370763078,0.8319532875246075
domain_length_aa,bacteriocin,Pyocin S5,33,13,-0.07130352875685689,0.6713486731372779
domain_length_aa,bacteriocin,PaeM4,34,13,-0.06951418082269555,0.6864302234643676
domain_length_aa,bacteriocin,LlpA BW11M1,34,13,-0.025062067497423415,0.8699909424307367
domain_length_aa,bacteriocin,Pyocin L1,26,13,-0.09968445755045918,0.5932448182397863
domain_length_aa,bacteriocin,Syringacin M,34,13,-0.06445700459962418,0.7110186589493537
domain_length_aa,bacteriocin,KpneA,34,13,-0.07723937556367871,0.6528738828030433
domain_length_aa,bacteriocin,KaerA,34,13,-0.07537355139319035,0.6585778808894129
domain_length_aa,bacteriocin,KvarIa,34,13,-0.0654992441749779,0.6976205641470767
domain_length_aa,bacteriocin,KvarM,33,13,-0.10906099062099021,0.5283132696518489
domain_length_aa,bacteriocin,KpneM,33,13,-0.07698178439206615,0.6695554282290659
domain_length_aa,bacteriocin,KpneM2,34,13,-0.06820519068779445,0.6964977170061181
domain_length_aa,bacteriocin,Pyocin L2,29,13,-0.13500745557928417,0.4637083408818624
domain_length_aa,bacteriocin,Pyocin L3,29,13,-0.1297109668107378,0.67605416099542
domain_length_aa,bacteriocin,Pyocin S6,34,13,0.07080020403725648,0.3407995950472511
domain_length_aa,doi,10.1016/j.febslet.2010.06.021,34,14,-0.07729606151006582,0.6396934753922978
domain_length_aa,doi,10.1371/journal.pone.0185782,33,13,-0.06176990562713354,0.7190309552329432
domain_length_aa,doi,10.1371/journal.ppat.1003199,34,13,-0.025062067497423415,0.8699909424307367
domain_length_aa,doi,10.1371/journal.ppat.1003898,33,14,-0.05552639529111582,0.7427302549143953
domain_length_aa,doi,10.1074/jbc.M112.400150,34,13,-0.06445700459962418,0.7110186589493537
domain_length_aa,doi,10.1038/s41598-019-51969-1,27,8,-0.1889305712421132,0.42591297059283306
domain_length_aa,doi,10.1002/mbo3.210,16,12,-0.4306894652589371,0.26623127148590264
domain_length_aa,doi,10.1002/mbo3.339,34,13,0.07080020403725648,0.3407995950472511
idr_fraction,bacteriocin,Pyocin S5,33,13,0.09973222889457434,0.8136280674598964
idr_fraction,bacteriocin,PaeM4,34,13,0.10385129352316666,0.7960640350756916
idr_fraction,bacteriocin,LlpA BW11M1,34,13,0.08140499893123448,0.8325535266888489
idr_fraction,bacteriocin,Pyocin L1,26,13,0.11885291821847116,0.7745138084194387
idr_fraction,bacteriocin,Syringacin M,34,13,0.10025558670609143,0.8049269058554684
idr_fraction,bacteriocin,KpneA,34,13,0.10418372603869927,0.7990663729077483
idr_fraction,bacteriocin,KaerA,34,13,0.19494892318901874,0.7957908661228161
idr_fraction,bacteriocin,KvarIa,34,13,0.24261097991134828,0.6619573232082787
idr_fraction,bacteriocin,KvarM,33,13,0.11302126230728926,0.7946984647890575
idr_fraction,bacteriocin,KpneM,33,13,0.10666822279865505,0.7960872326313982
idr_fraction,bacteriocin,KpneM2,34,13,0.10560774268004361,0.7941207073726351
idr_fraction,bacteriocin,Pyocin L2,29,13,0.14246813713406276,0.748464907345068
idr_fraction,bacteriocin,Pyocin L3,29,13,0.10098128608298748,0.8067286998804322
idr_fraction,bacteriocin,Pyocin S6,34,13,-0.13355575174891143,0.543470510813139
idr_fraction,doi,10.1016/j.febslet.2010.06.021,34,14,0.0757442482139255,0.8351561675179013
idr_fraction,doi,10.1371/journal.pone.0185782,33,13,0.12469766915368312,0.7815903304261498
idr_fraction,doi,10.1371/journal.ppat.1003199,34,13,0.08140499893123448,0.8325535266888489
idr_fraction,doi,10.1371/journal.ppat.1003898,33,14,0.09430941209234077,0.8088620421715437
idr_fraction,doi,10.1074/jbc.M112.400150,34,13,0.10025558670609143,0.8049269058554684
idr_fraction,doi,10.1038/s41598-019-51969-1,27,8,0.6716583160546107,0.1738661419122446
idr_fraction,doi,10.1002/mbo3.210,16,12,0.2441250485011086,0.7065723501711939
idr_fraction,doi,10.1002/mbo3.339,34,13,-0.13355575174891143,0.543470510813139
nterm40_idr_fraction,bacteriocin,Pyocin S5,33,13,-0.10429156802130668,0.528363524228791
nterm40_idr_fraction,bacteriocin,PaeM4,34,13,-0.09762266031716627,0.5612546832138626
nterm40_idr_fraction,bacteriocin,LlpA BW11M1,34,13,-0.11679665819229772,0.4650441058522
nterm40_idr_fraction,bacteriocin,Pyocin L1,26,13,-0.09248490356828024,0.5875046813543783
nterm40_idr_fraction,bacteriocin,Syringacin M,34,13,-0.13708874314154354,0.3960556123322967
nterm40_idr_fraction,bacteriocin,KpneA,34,13,-0.08980162923747215,0.6152505235700423
nterm40_idr_fraction,bacteriocin,KaerA,34,13,0.04264520100300317,0.8670077190554727
nterm40_idr_fraction,bacteriocin,KvarIa,34,13,-0.07263116129581035,0.8440626288528471
nterm40_idr_fraction,bacteriocin,KvarM,33,13,-0.1252568243346382,0.4296479642739385
nterm40_idr_fraction,bacteriocin,KpneM,33,13,-0.09448055772152966,0.5962555670264833
nterm40_idr_fraction,bacteriocin,KpneM2,34,13,-0.09618031038875273,0.5615616212931891
nterm40_idr_fraction,bacteriocin,Pyocin L2,29,13,-0.07275316894712484,0.675153427978427
nterm40_idr_fraction,bacteriocin,Pyocin L3,29,13,-0.10800989883786015,0.5137393297926893
