omitted_protein,analysis,outcome,predictor,n_records,n_proteins,slope,hc3_se,ci95_low,ci95_high,hc3_p,r_squared,spearman_rho,spearman_p
KaerA,leave_one_protein_out,log10_mic_ug_ml,verified_length_aa,14,10,0.0017026994274915595,0.004312964945661404,-0.007694443930020528,0.011099842785003648,0.699927631282943,0.06117978415613523,0.06159327379046993,0.8343145424251142
KaerA,leave_one_protein_out,log10_mic_ug_ml,idr_length_aa,14,10,0.001062194503867251,0.011784421300154564,-0.024613853815113274,0.02673824282284778,0.9296665583801437,0.010995104101260589,0.1835382855559253,0.5299500214951407
KpneA,leave_one_protein_out,log10_mic_ug_ml,verified_length_aa,14,10,0.0015309403105331456,0.004335175556382423,-0.007914595810572642,0.010976476431638934,0.7301065188899293,0.04674102391715551,0.0,1.0
KpneA,leave_one_protein_out,log10_mic_ug_ml,idr_length_aa,14,10,2.9976388208202942e-05,0.0014620310956234483,-0.0031555157203086008,0.003215468496725007,0.9839788982594576,8.979446584067574e-06,0.062222375857907845,0.8326439289345647
KpneM,leave_one_protein_out,log10_mic_ug_ml,verified_length_aa,13,10,0.0016652291986422323,0.004159004157847278,-0.00748867723353905,0.010819135630823514,0.6965347037128191,0.05338957321391269,-0.05204190341752808,0.8659182070271613
KpneM,leave_one_protein_out,log10_mic_ug_ml,idr_length_aa,13,10,0.00034224152632431585,0.001466490446707608,-0.0028854821842952878,0.0035699652369439194,0.8197566001263659,0.0011618719291524027,0.11436552266784378,0.7098731871849124
KpneM2,leave_one_protein_out,log10_mic_ug_ml,verified_length_aa,14,10,0.001613365697460322,0.004116331438471781,-0.007355350051844551,0.010582081446765196,0.7019722627617538,0.051516728294715874,0.06958688380873367,0.8131376094900382
KpneM2,leave_one_protein_out,log10_mic_ug_ml,idr_length_aa,14,10,0.0003525113601877998,0.0014823260082938313,-0.00287719956443221,0.00358222228480781,0.8160407201808915,0.0012407251662306384,0.07915278051376824,0.7879515877180666
KvarIa,leave_one_protein_out,log10_mic_ug_ml,verified_length_aa,14,10,0.0014440172629757721,0.00486846730990943,-0.009163461772670392,0.012051496298621936,0.7718382668431426,0.0387050756923919,-0.03816054918543459,0.896948481373698
KvarIa,leave_one_protein_out,log10_mic_ug_ml,idr_length_aa,14,10,0.0003348525484301208,0.013987671708521629,-0.030141666027270125,0.030811371124130366,0.9812946478505243,0.0002382808644605383,0.05685622262256592,0.846914451253213
KvarM,leave_one_protein_out,log10_mic_ug_ml,verified_length_aa,13,10,0.0008727960794968717,0.004182956139410258,-0.00833382830865932,0.010079420467653063,0.838530768292667,0.0157610753294678,-0.09847443590875216,0.7489244824842614
KvarM,leave_one_protein_out,log10_mic_ug_ml,idr_length_aa,13,10,-0.0002719118793785299,0.0014953939069786298,-0.0035632516771299506,0.003019427918372891,0.859021262345938,0.0007939317859008144,0.09279778393351801,0.7630144447917162
LlpA BW11M1,leave_one_protein_out,log10_mic_ug_ml,verified_length_aa,14,10,0.0009248878458528245,0.004101292444138318,-0.008011060749653007,0.009860836441358656,0.8253764460634402,0.019198828389456413,-0.10267857142857144,0.7268686366777054
LlpA BW11M1,leave_one_protein_out,log10_mic_ug_ml,idr_length_aa,14,10,-0.0005460588034252721,0.001866952198537732,-0.0046137982059747205,0.0035216805991241766,0.7749100997133308,0.003294606201347361,-0.1785714285714286,0.5413314288573025
PaeM4,leave_one_protein_out,log10_mic_ug_ml,verified_length_aa,14,10,0.0013304616957902466,0.004147486675573554,-0.007706135483823295,0.010367058875403788,0.7538891107239141,0.03578761599688207,-0.007865347276681778,0.9787104542763044
PaeM4,leave_one_protein_out,log10_mic_ug_ml,idr_length_aa,14,10,0.00030164414356385747,0.0015039751812172964,-0.0029752362767734826,0.003578524563901198,0.8443981119981836,0.00088982516125935,0.08258928571428573,0.7789491547927135
Pyocin L1,leave_one_protein_out,log10_mic_ug_ml,verified_length_aa,13,10,0.0015716130255758092,0.004420310525035433,-0.00815742484302406,0.011300650894175677,0.728906581609257,0.044836600938338744,-0.0014104723097214493,0.9963512609272627
Pyocin L1,leave_one_protein_out,log10_mic_ug_ml,idr_length_aa,13,10,0.0001868387022779477,0.0014975401898237022,-0.003109225032164837,0.003482902436720732,0.902961442739242,0.00033689433133232694,0.01118882213196499,0.9710610774147188
Pyocin S5,leave_one_protein_out,log10_mic_ug_ml,verified_length_aa,13,10,-0.0013513354349207287,0.0022812466107148197,-0.0063723253716133944,0.0036696545017719374,0.565582396421995,0.028101006004812246,-0.11798497593106735,0.701065456642311
Pyocin S5,leave_one_protein_out,log10_mic_ug_ml,idr_length_aa,13,10,-0.00024160633566943065,0.003730078901757757,-0.00845145464440917,0.007968241973070311,0.9495173260954816,0.0012579262370072675,0.0445684180309917,0.8850487911898126
Syringacin M,leave_one_protein_out,log10_mic_ug_ml,verified_length_aa,14,10,0.0017993718424774963,0.004074288274123074,-0.007077739720944606,0.0106764834058996,0.6666024164914761,0.0696843729054335,0.015625000000000003,0.9577198425185695
Syringacin M,leave_one_protein_out,log10_mic_ug_ml,idr_length_aa,14,10,0.0003334314954182868,0.0013827172825977372,-0.00267925065970827,0.003346113650544843,0.81351591894015,0.0012166509800611847,-0.04464285714285715,0.8795508510004452
