bacteriocin,target_strain,reported_value,reported_unit,assay_group,import_mechanism,doi,molecular_weight_da,converted_from_nM,mic_ug_ml,mic_nM,log10_mic_ug_ml,log10_mic_nM,verified_accession,verified_length_aa,idr_length_aa,idr_fraction,motif_length_aa
Pyocin S5,P. aeruginosa DWW3,12.6,ug/mL,not reported in accessible methods,TonB,10.1016/j.febslet.2010.06.021,56074.3386,False,12.6,224.7017140920856,1.100370545117563,2.3516063853603613,WP_003115311.1,498,58,0.1164658634538152,185
Pyocin S5,P. aeruginosa A19,0.1,ug/mL,agar dilution,TonB,10.1371/journal.pone.0185782,56074.3386,False,0.1,1.783346937238775,-1.0,0.2512358402427984,WP_003115311.1,498,58,0.1164658634538152,185
PaeM4,P. aeruginosa A19,0.6,ug/mL,agar dilution,TonB,10.1371/journal.pone.0185782,38994.6005,False,0.6,15.38674565982539,-0.2218487496163564,1.187146775034049,ERY59288.1,342,8,0.023391812865497,158
LlpA BW11M1,P. syringae GR12-2R3,2.08,nM,spot-overlay MIC,Unknown,10.1371/journal.ppat.1003199,29966.4584,True,0.062330233472,2.08,-1.2053012463566557,0.3180633349627615,AAM95702.1,276,0,0.0,232
Pyocin L1,P. aeruginosa P8,7.0,nM,spot-overlay MIC,Unknown,10.1371/journal.ppat.1003898,28412.982,True,0.198890874,7.0,-0.7013851437854137,0.8450980400142568,CDG56231.1,256,4,0.015625,207
Pyocin L1,P. aeruginosa E2,27.0,nM,spot-overlay MIC,Unknown,10.1371/journal.ppat.1003898,28412.982,True,0.767150514,27.0,-0.1151194196406832,1.4313637641589874,CDG56231.1,256,4,0.015625,207
Syringacin M,P. syringae pv. lachrymans LMG 5456,60.0,nM,spot-overlay MIC,TonB,10.1074/jbc.M112.400150,29620.9109,True,1.7772546539999998,60.0,0.2497496601650787,1.7781512503836436,Q88A25,276,28,0.1014492753623188,151
KpneA,K. variicola DSM15968,0.2,ug/mL,microbroth dilution,TonB,10.1038/s41598-019-51969-1,39906.7625,False,0.2,5.011681917319152,-0.6989700043360187,0.699983499286041,SAV78255.1,377,19,0.0503978779840848,147
KaerA,K. variicola DSM15968,0.1,ug/mL,microbroth dilution,TonB,10.1038/s41598-019-51969-1,39364.9196,False,0.1,2.5403328907091174,-1.0,0.4048906312361113,WP_063414841.1,379,104,0.2744063324538258,158
KvarIa,K. variicola DSM15968,0.4,ug/mL,microbroth dilution,Unknown,10.1038/s41598-019-51969-1,43432.4722,False,0.4,9.209699096981176,-0.3979400086720376,0.9642454409834436,KDL88409.1,414,230,0.5555555555555556,184
KvarM,K. pneumoniae DSM16358,0.1,ug/mL,microbroth dilution,TonB,10.1038/s41598-019-51969-1,29832.3786,False,0.1,3.3520625807557964,-1.0,0.5253121180200564,CTQ17225.1,276,19,0.0688405797101449,130
KvarM,K. variicola DSM15968,0.2,ug/mL,microbroth dilution,TonB,10.1038/s41598-019-51969-1,29832.3786,False,0.2,6.704125161511593,-0.6989700043360187,0.8263421136840375,CTQ17225.1,276,19,0.0688405797101449,130
KpneM,K. pneumoniae DSM16358,0.8,ug/mL,microbroth dilution,TonB,10.1038/s41598-019-51969-1,30287.744,False,0.8,26.413324148540084,-0.0969100130080563,1.4218230611282054,EWD35590.1,278,18,0.0647482014388489,131
KpneM,K. variicola DSM15968,0.4,ug/mL,microbroth dilution,TonB,10.1038/s41598-019-51969-1,30287.744,False,0.4,13.206662074270042,-0.3979400086720376,1.1207930654642242,EWD35590.1,278,18,0.0647482014388489,131
KpneM2,K. pneumoniae DSM16358,0.8,ug/mL,microbroth dilution,TonB,10.1038/s41598-019-51969-1,29729.1697,False,0.8,26.909597814970255,-0.0969100130080563,1.4299072069408494,WP_047066220.1,272,13,0.0477941176470588,127
