bacteriocin,sequence_length_aa,idr_length_aa,idr_fraction,longest_idr_aa,idr_segments
Pyocin S5,498,58,0.1164658634538152,17,1-2; 8-13; 225-234; 259-273; 300-316; 346-353
PaeM4,342,8,0.023391812865497,5,37-41; 230-232
LlpA BW11M1,276,0,0.0,0,
Pyocin L1,256,4,0.015625,4,235-238
Syringacin M,276,28,0.1014492753623188,20,13-15; 17-36; 94-98
KpneA,377,19,0.0503978779840848,6,2-7; 20-21; 81-85; 96-96; 150-154
KaerA,379,104,0.2744063324538258,41,1-41; 55-56; 63-88; 96-102; 104-119; 150-161
KvarIa,414,230,0.5555555555555556,230,1-230
KpneM,278,18,0.0647482014388489,9,21-29; 103-107; 275-278
KpneM2,272,13,0.0477941176470588,12,231-242; 271-271
KvarM,276,19,0.0688405797101449,16,234-249; 274-276
