bacteriocin,accession,database,family,import_pathway,sequence_sha256,domain_method,domain_signature,domain_coordinates,domain_length_aa,domain_charge_pH7,domain_gravy,domain_isoelectric_point,nterm40_charge_pH7,nterm40_gravy,length_aa,molecular_weight_da,isoelectric_point,charge_pH7,gravy,aromaticity,instability_index,helix_fraction,turn_fraction,sheet_fraction,idr_length_aa,idr_fraction,longest_idr_aa,nterm40_idr_fraction
KpneM,EWD35590.1,NCBI Protein,ColM-like,Ton,05132a559d94f76def8aa46c6b253bb479429fab6c4d433a40deb1755390648f,Gene3D,G3DSA:3.30.450.400,148-278,131,-2.890614649458506,-0.0969465648854962,5.4663423538208,-2.4078492012566493,0.032499999999999966,278,30287.744000000002,6.023932838439941,-4.631131902292648,-0.2183453237410072,0.1079136690647482,47.84820143884892,0.22661870503597123,0.34532374100719426,0.3669064748201439,18,0.0647482014388489,9,0.225
KpneM2,WP_047066220.1,NCBI Protein,ColM-like,Ton,3b92060eb0652790577a8e41b4e9dccf5a3521a9c80f5dbb955bfad07fd5c799,Gene3D,G3DSA:3.30.450.400,146-272,127,0.5551822704311302,-0.4299212598425197,7.9015192031860355,-2.496022390510237,0.305,272,29729.1697,8.37375011444092,1.7556887559861387,-0.3360294117647059,0.10661764705882353,34.050735294117665,0.23529411764705882,0.36764705882352944,0.375,13,0.0477941176470588,12,0.0
KvarM,CTQ17225.1,NCBI Protein,ColM-like,Ton,d812996b66f5b5a5337ea6f950d37f8c13e2ec683a9b16086c25f5796005df68,Gene3D,G3DSA:3.30.450.400,147-276,130,3.852438723470467,-0.5015384615384616,9.39757251739502,-2.4977120915436024,0.11749999999999998,276,29832.3786,8.911545372009279,3.7499660718988714,-0.2423913043478261,0.10507246376811594,23.16376811594203,0.25724637681159424,0.3442028985507246,0.3804347826086956,19,0.0688405797101449,16,0.0
PaeM4,ERY59288.1,NCBI Protein,ColM-like,Ton,2b73f5049f73801746b6871e497e0623e0f0e20b51993bf7957472ec7e3a31b3,Gene3D,G3DSA:3.30.450.400,184-341,158,3.115240788172809,-0.5348101265822784,9.028039741516114,-1.406860200157649,-5.2735593669694933e-17,342,38994.6005,5.731553077697755,-6.681724061707264,-0.44415204678362574,0.1286549707602339,31.733918128654967,0.2865497076023392,0.30994152046783624,0.39766081871345027,8,0.023391812865497,5,0.1
Syringacin M,Q88A25,UniProtKB,ColM-like,Ton,43e7b32a40ba34c178dc994229c52be2570ebfb6e9ed53a4b8027f44d1a86182,Gene3D,G3DSA:3.30.450.400,126-276,151,-3.9921365763377086,0.17748344370860925,5.062160301208496,-1.4959206303693948,-0.6300000000000001,276,29620.9109,5.1651525497436515,-6.142760980467795,-0.1528985507246377,0.08333333333333333,43.60181159420289,0.2391304347826087,0.37681159420289856,0.36231884057971014,28,0.1014492753623188,20,0.575
LlpA BW11M1,AAM95702.1,NCBI Protein,lectin-like,unresolved,420bffab0dbb664c1941825cba46e954ec5cdafaf273194727a0b5898286d4df,SMART,SM00108,14-137; 146-253,232,-0.24530214850328136,-0.04870689655172416,6.837582969665529,3.4973276848443384,0.09999999999999995,276,29966.4584,9.123646354675294,3.031529601403136,-0.11086956521739132,0.10507246376811594,29.181195652173905,0.2463768115942029,0.33695652173913043,0.391304347826087,0,0.0,0,0.0
Pyocin L1,CDG56231.1,NCBI Protein,lectin-like,unresolved,5a78b8ac859194c3d2a684b55d59f933600989e862c070d3bfaf1d77bfdecd0d,SMART,SM00108,8-108; 123-228,207,-2.0547639666535815,-0.2352657004830918,5.687843894958497,-0.4974885714619175,-0.25,256,28412.981999999996,6.4207258224487305,-1.1391165368354663,-0.23632812500000003,0.12109375,15.821093749999992,0.265625,0.3203125,0.4140625,4,0.015625,4,0.0
Pyocin L2,ERX71449.1,NCBI Protein,lectin-like,unresolved,4eaf1adbc0be1db4427fc1870c8968eb94dd44a57e2dbc8f3af003d7c0843013,SMART,SM00108,8-121; 123-227,219,-3.221103355912856,-0.21598173515981736,5.05266819000244,-0.4974885714619175,-0.25,256,28412.9406,5.429965400695799,-3.307257387168953,-0.21953125,0.1171875,17.165234374999994,0.265625,0.328125,0.41015625,0,0.0,0,0.0
Pyocin L3,ERZ09331.1,NCBI Protein,lectin-like,unresolved,5f140d4fa0fefabee97ca3d9b92c6ec4ce4db46bfb0a4c96189a6a42ed940b51,SMART,SM00108,154-261,108,-3.8883243320505523,-0.36759259259259264,5.271100425720214,2.501147147716551,0.5149999999999999,290,31909.5478,6.585161018371582,-0.9842171982660375,-0.2482758620689655,0.11724137931034483,26.17931034482758,0.24482758620689654,0.3517241379310345,0.37241379310344824,0,0.0,0,0.0
Colicin D,P17998,UniProtKB,nuclease,Ton,d60cf03602c9686b028d6d36b9c92c8e57e3b834336ed58df7123ef227942b9c,Pfam,PF11429,604-684,81,2.947313976138936,-1.093827160493827,9.190886878967284,-4.406484920435117,-0.36750000000000005,697,74687.5413,4.9646814346313475,-21.679866205872962,-0.23400286944045912,0.05738880918220947,36.15997130559555,0.28981348637015786,0.35581061692969873,0.34146341463414637,162,0.2324246771879483,40,0.45
