,KpneA,KaerA,KvarIa,Pyocin_S5,LlpA_BW11M1,Pyocin_L1,PaeM4,Syringacin_M,KpneM2,KvarM,KpneM
KpneA,100.0,62.93333333333333,17.1875,20.84942084942085,10.666666666666666,11.594202898550725,16.666666666666668,11.688311688311689,20.27027027027027,18.666666666666668,11.842105263157896
KaerA,62.93333333333333,100.0,20.3125,20.155038759689923,12.162162162162161,10.447761194029852,10.227272727272727,9.333333333333334,9.58904109589041,13.698630136986301,10.81081081081081
KvarIa,17.1875,20.3125,100.0,28.823529411764707,10.833333333333334,11.016949152542374,10.294117647058824,10.81081081081081,15.74074074074074,15.74074074074074,13.274336283185841
Pyocin_S5,20.84942084942085,20.155038759689923,28.823529411764707,100.0,14.814814814814815,17.02127659574468,11.30952380952381,13.008130081300813,16.10169491525424,15.966386554621849,14.634146341463415
LlpA_BW11M1,10.666666666666666,12.162162162162161,10.833333333333334,14.814814814814815,100.0,29.43548387096774,12.616822429906541,16.580310880829014,14.736842105263158,15.544041450777202,14.507772020725389
Pyocin_L1,11.594202898550725,10.447761194029852,11.016949152542374,17.02127659574468,29.43548387096774,100.0,17.78846153846154,15.873015873015873,9.497206703910615,12.087912087912088,16.483516483516482
PaeM4,16.666666666666668,10.227272727272727,10.294117647058824,11.30952380952381,12.616822429906541,17.78846153846154,100.0,23.863636363636363,21.348314606741575,21.771217712177123,21.771217712177123
Syringacin_M,11.688311688311689,9.333333333333334,10.81081081081081,13.008130081300813,16.580310880829014,15.873015873015873,23.863636363636363,100.0,31.10236220472441,31.3953488372093,27.7992277992278
KpneM2,20.27027027027027,9.58904109589041,15.74074074074074,16.10169491525424,14.736842105263158,9.497206703910615,21.348314606741575,31.10236220472441,100.0,70.58823529411765,46.09665427509294
KvarM,18.666666666666668,13.698630136986301,15.74074074074074,15.966386554621849,15.544041450777202,12.087912087912088,21.771217712177123,31.3953488372093,70.58823529411765,100.0,45.955882352941174
KpneM,11.842105263157896,10.81081081081081,13.274336283185841,14.634146341463415,14.507772020725389,16.483516483516482,21.771217712177123,27.7992277992278,46.09665427509294,45.955882352941174,100.0
