bacteriocin,supplied_accession,verified_accession,database,workbook_length_aa,verified_length_aa,molecular_weight_da,sha256,status,audit_note
Pyocin S5,WP_003115311,WP_003115311.1,NCBI Protein,498,498,56074.3386,5cd49ede95bc123ed798bab6c490f51855048f208ab313114d00f1419b72e051,verified,Sequence and length matched the supplied record
PaeM4,ERY59288,ERY59288.1,NCBI Protein,342,342,38994.6005,2b73f5049f73801746b6871e497e0623e0f0e20b51993bf7957472ec7e3a31b3,verified,Sequence and length matched the supplied record
LlpA BW11M1,AY118112,AAM95702.1,NCBI Protein,276,276,29966.4584,420bffab0dbb664c1941825cba46e954ec5cdafaf273194727a0b5898286d4df,corrected,AY118112 is a 16S rRNA nucleotide record; the source protein record is AAM95702.1
Pyocin L1,CDG56231.1,CDG56231.1,NCBI Protein,256,256,28412.982,5a78b8ac859194c3d2a684b55d59f933600989e862c070d3bfaf1d77bfdecd0d,verified,Sequence and length matched the supplied record
Syringacin M,Q88A25,Q88A25,UniProtKB,276,276,29620.9109,43e7b32a40ba34c178dc994229c52be2570ebfb6e9ed53a4b8027f44d1a86182,verified,Sequence and length matched the supplied record
KpneA,SAV78255.1,SAV78255.1,NCBI Protein,375,377,39906.7625,55e3e5c60294e53ac7b45e9cca8e2bc0fe5698ae82adfb50e291b6afa35c395c,verified,Current accession sequence is 377 aa; workbook reports 375 aa
KaerA,WP_063414841.1,WP_063414841.1,NCBI Protein,378,379,39364.9196,78d6b69108ae3a9c6bc046c220378fb751bbc23fb8d6bd58cc0a67ad62fcc1ec,verified,Current accession sequence is 379 aa; workbook reports 378 aa
KvarIa,KDL88409,KDL88409.1,NCBI Protein,414,414,43432.4722,c009e9164b05f4f1e58832d74f27ee7b6fd38d2948ec0286a8a32348156bcfc4,verified,Sequence and length matched the supplied record
KpneM,EWD35590.1,EWD35590.1,NCBI Protein,277,278,30287.744,05132a559d94f76def8aa46c6b253bb479429fab6c4d433a40deb1755390648f,verified,Current accession sequence is 278 aa; workbook reports 277 aa
KpneM2,WP_047066220,WP_047066220.1,NCBI Protein,270,272,29729.1697,3b92060eb0652790577a8e41b4e9dccf5a3521a9c80f5dbb955bfad07fd5c799,verified,Current accession sequence is 272 aa; workbook reports 270 aa
KvarM,CTQ17225.1,CTQ17225.1,NCBI Protein,276,276,29832.3786,d812996b66f5b5a5337ea6f950d37f8c13e2ec683a9b16086c25f5796005df68,verified,Sequence and length matched the supplied record
