bacteriocin,target_strain,reported_lower,reported_upper,reported_unit,censoring,assay_group,doi,source_location,accession,database,family,import_pathway,sequence_sha256,domain_method,domain_signature,domain_coordinates,domain_length_aa,domain_charge_pH7,domain_gravy,domain_isoelectric_point,nterm40_charge_pH7,nterm40_gravy,length_aa,molecular_weight_da,isoelectric_point,charge_pH7,gravy,aromaticity,instability_index,helix_fraction,turn_fraction,sheet_fraction,idr_length_aa,idr_fraction,longest_idr_aa,nterm40_idr_fraction,target_genus,mic_nM_lower,mic_ug_ml_lower,log10_mic_ug_ml_lower,mic_nM_upper,mic_ug_ml_upper,log10_mic_ug_ml_upper,mic_ug_ml_midpoint,log10_mic_ug_ml_midpoint
Pyocin S5,P. aeruginosa DWW3,12.6,12.6,ug/mL,exact,source-defined MIC,10.1016/j.febslet.2010.06.021,main text,WP_003115311.1,NCBI Protein,pore-forming,Ton,5cd49ede95bc123ed798bab6c490f51855048f208ab313114d00f1419b72e051,Pfam,PF01024,310-494,185,1.9133762927282483,-0.1318918918918919,8.689903068542481,-6.491539346750859,-0.1,498,56074.3386,8.495788764953613,2.767071795660897,-0.5136546184738956,0.07630522088353414,41.78435742971889,0.4176706827309237,0.22690763052208834,0.3313253012048193,58,0.1164658634538152,17,0.2,P,224.7017140920856,12.6,1.100370545117563,224.7017140920856,12.6,1.100370545117563,12.6,1.100370545117563
Pyocin S5,P. aeruginosa A19,0.1,0.1,ug/mL,exact,agar dilution,10.1371/journal.pone.0185782,Supplementary Figure S1,WP_003115311.1,NCBI Protein,pore-forming,Ton,5cd49ede95bc123ed798bab6c490f51855048f208ab313114d00f1419b72e051,Pfam,PF01024,310-494,185,1.9133762927282483,-0.1318918918918919,8.689903068542481,-6.491539346750859,-0.1,498,56074.3386,8.495788764953613,2.767071795660897,-0.5136546184738956,0.07630522088353414,41.78435742971889,0.4176706827309237,0.22690763052208834,0.3313253012048193,58,0.1164658634538152,17,0.2,P,1.7833469372387747,0.1,-1.0,1.7833469372387747,0.1,-1.0,0.1,-1.0
PaeM4,P. aeruginosa A19,0.6,0.6,ug/mL,exact,agar dilution,10.1371/journal.pone.0185782,Supplementary Figure S1,ERY59288.1,NCBI Protein,ColM-like,Ton,2b73f5049f73801746b6871e497e0623e0f0e20b51993bf7957472ec7e3a31b3,Gene3D,G3DSA:3.30.450.400,184-341,158,3.115240788172809,-0.5348101265822784,9.028039741516114,-1.406860200157649,-5.2735593669694933e-17,342,38994.6005,5.731553077697755,-6.681724061707264,-0.44415204678362574,0.1286549707602339,31.733918128654967,0.2865497076023392,0.30994152046783624,0.39766081871345027,8,0.023391812865497,5,0.1,P,15.38674565982539,0.6,-0.2218487496163564,15.38674565982539,0.6,-0.2218487496163564,0.6,-0.2218487496163564
LlpA BW11M1,P. syringae GR12-2R3,2.08,2.08,nM,exact,spot-overlay MIC,10.1371/journal.ppat.1003199,main text,AAM95702.1,NCBI Protein,lectin-like,unresolved,420bffab0dbb664c1941825cba46e954ec5cdafaf273194727a0b5898286d4df,SMART,SM00108,14-137; 146-253,232,-0.24530214850328136,-0.04870689655172416,6.837582969665529,3.4973276848443384,0.09999999999999995,276,29966.4584,9.123646354675294,3.031529601403136,-0.11086956521739132,0.10507246376811594,29.181195652173905,0.2463768115942029,0.33695652173913043,0.391304347826087,0,0.0,0,0.0,P,2.08,0.062330233472,-1.2053012463566557,2.08,0.062330233472,-1.2053012463566557,0.062330233472,-1.2053012463566557
Pyocin L1,P. aeruginosa P8,7.0,7.0,nM,exact,spot-overlay MIC,10.1371/journal.ppat.1003898,main text,CDG56231.1,NCBI Protein,lectin-like,unresolved,5a78b8ac859194c3d2a684b55d59f933600989e862c070d3bfaf1d77bfdecd0d,SMART,SM00108,8-108; 123-228,207,-2.0547639666535815,-0.2352657004830918,5.687843894958497,-0.4974885714619175,-0.25,256,28412.981999999996,6.4207258224487305,-1.1391165368354663,-0.23632812500000003,0.12109375,15.821093749999992,0.265625,0.3203125,0.4140625,4,0.015625,4,0.0,P,7.0,0.198890874,-0.7013851437854138,7.0,0.198890874,-0.7013851437854138,0.198890874,-0.7013851437854138
Pyocin L1,P. aeruginosa E2,27.0,27.0,nM,exact,spot-overlay MIC,10.1371/journal.ppat.1003898,main text,CDG56231.1,NCBI Protein,lectin-like,unresolved,5a78b8ac859194c3d2a684b55d59f933600989e862c070d3bfaf1d77bfdecd0d,SMART,SM00108,8-108; 123-228,207,-2.0547639666535815,-0.2352657004830918,5.687843894958497,-0.4974885714619175,-0.25,256,28412.981999999996,6.4207258224487305,-1.1391165368354663,-0.23632812500000003,0.12109375,15.821093749999992,0.265625,0.3203125,0.4140625,4,0.015625,4,0.0,P,27.0,0.7671505139999999,-0.11511941964068335,27.0,0.7671505139999999,-0.11511941964068335,0.7671505139999999,-0.11511941964068335
Syringacin M,P. syringae pv. lachrymans LMG 5456,60.0,60.0,nM,exact,spot-overlay MIC,10.1074/jbc.M112.400150,main text,Q88A25,UniProtKB,ColM-like,Ton,43e7b32a40ba34c178dc994229c52be2570ebfb6e9ed53a4b8027f44d1a86182,Gene3D,G3DSA:3.30.450.400,126-276,151,-3.9921365763377086,0.17748344370860925,5.062160301208496,-1.4959206303693948,-0.6300000000000001,276,29620.9109,5.1651525497436515,-6.142760980467795,-0.1528985507246377,0.08333333333333333,43.60181159420289,0.2391304347826087,0.37681159420289856,0.36231884057971014,28,0.1014492753623188,20,0.575,P,60.0,1.7772546539999998,0.2497496601650787,60.0,1.7772546539999998,0.2497496601650787,1.7772546539999998,0.2497496601650787
KpneA,K. variicola DSM15968,0.2,0.2,ug/mL,exact,microbroth dilution,10.1038/s41598-019-51969-1,Supplementary Table S2,SAV78255.1,NCBI Protein,pore-forming,Ton,55e3e5c60294e53ac7b45e9cca8e2bc0fe5698ae82adfb50e291b6afa35c395c,Pfam,PF01024,189-335,147,3.7711389789439913,-0.10476190476190476,9.331685829162598,-1.5069223816082478,-0.6224999999999999,377,39906.7625,8.972725868225101,5.582997356813024,-0.18222811671087533,0.07427055702917772,11.507692307692302,0.33421750663129973,0.35013262599469497,0.35278514588859416,19,0.0503978779840848,6,0.2,K,5.011681917319152,0.2,-0.6989700043360187,5.011681917319152,0.2,-0.6989700043360187,0.2,-0.6989700043360187
KaerA,K. variicola DSM15968,0.1,0.1,ug/mL,exact,microbroth dilution,10.1038/s41598-019-51969-1,Supplementary Table S2,WP_063414841.1,NCBI Protein,pore-forming,Ton,78d6b69108ae3a9c6bc046c220378fb751bbc23fb8d6bd58cc0a67ad62fcc1ec,Pfam,PF01024,196-353,158,5.84256947971809,0.16329113924050634,9.697028160095215,-2.4085399012910136,-0.5700000000000001,379,39364.9196,8.91070728302002,3.7824981384270515,-0.1812664907651715,0.06068601583113456,9.418469656992073,0.34036939313984166,0.35883905013192613,0.32189973614775724,104,0.2744063324538258,41,1.0,K,2.5403328907091174,0.1,-1.0,2.5403328907091174,0.1,-1.0,0.1,-1.0
KvarIa,K. variicola DSM15968,0.4,0.4,ug/mL,exact,microbroth dilution,10.1038/s41598-019-51969-1,Supplementary Table S2,KDL88409.1,NCBI Protein,pore-forming,unresolved,c009e9164b05f4f1e58832d74f27ee7b6fd38d2948ec0286a8a32348156bcfc4,Pfam,PF01024,227-410,184,1.9396632923296302,0.046739130434782616,8.630785560607912,-0.4927001072907071,-1.6375,414,43432.472200000004,9.248715019226072,8.90323528795215,-0.45265700483091786,0.05555555555555555,22.264033816425112,0.46618357487922707,0.27294685990338163,0.25120772946859904,230,0.5555555555555556,230,1.0,K,9.209699096981174,0.4,-0.3979400086720376,9.209699096981174,0.4,-0.3979400086720376,0.4,-0.3979400086720376
KvarM,K. pneumoniae DSM16358,0.1,0.1,ug/mL,exact,microbroth dilution,10.1038/s41598-019-51969-1,Supplementary Table S2,CTQ17225.1,NCBI Protein,ColM-like,Ton,d812996b66f5b5a5337ea6f950d37f8c13e2ec683a9b16086c25f5796005df68,Gene3D,G3DSA:3.30.450.400,147-276,130,3.852438723470467,-0.5015384615384616,9.39757251739502,-2.4977120915436024,0.11749999999999998,276,29832.3786,8.911545372009279,3.7499660718988714,-0.2423913043478261,0.10507246376811594,23.16376811594203,0.25724637681159424,0.3442028985507246,0.3804347826086956,19,0.0688405797101449,16,0.0,K,3.3520625807557964,0.1,-1.0,3.3520625807557964,0.1,-1.0,0.1,-1.0
KvarM,K. variicola DSM15968,0.2,0.2,ug/mL,exact,microbroth dilution,10.1038/s41598-019-51969-1,Supplementary Table S2,CTQ17225.1,NCBI Protein,ColM-like,Ton,d812996b66f5b5a5337ea6f950d37f8c13e2ec683a9b16086c25f5796005df68,Gene3D,G3DSA:3.30.450.400,147-276,130,3.852438723470467,-0.5015384615384616,9.39757251739502,-2.4977120915436024,0.11749999999999998,276,29832.3786,8.911545372009279,3.7499660718988714,-0.2423913043478261,0.10507246376811594,23.16376811594203,0.25724637681159424,0.3442028985507246,0.3804347826086956,19,0.0688405797101449,16,0.0,K,6.704125161511593,0.2,-0.6989700043360187,6.704125161511593,0.2,-0.6989700043360187,0.2,-0.6989700043360187
