,PaeM4,Syringacin M,KpneM,KpneM2,KvarM,Pyocin L1,Pyocin L2,LlpA BW11M1,Pyocin L3,Pyocin S6,Colicin E7,Colicin E3,Colicin E2,Colicin B,Colicin D,Colicin E1,Pyocin S5,KpneA,KaerA,KvarIa,Colicin N,Colicin A
PaeM4,100.0,23.134328358208954,20.973782771535582,20.306513409961685,22.264150943396228,12.76595744680851,12.76595744680851,12.121212121212121,13.432835820895523,10.294117647058824,14.795918367346939,14.457831325301205,13.5,15.476190476190476,9.956709956709958,19.161676646706585,9.876543209876543,14.465408805031446,13.125,9.375,13.013698630136986,11.834319526627219
Syringacin M,23.134328358208954,100.0,27.96934865900383,29.296875,31.153846153846153,2.5,2.5,11.864406779661017,16.666666666666668,12.195121951219512,12.962962962962964,14.705882352941176,11.44578313253012,11.428571428571429,11.557788944723619,10.218978102189782,9.6,10.833333333333334,13.333333333333334,8.130081300813009,11.016949152542374,10.526315789473685
KpneM,20.973782771535582,27.96934865900383,100.0,45.55555555555556,45.955882352941174,7.317073170731708,7.317073170731708,11.666666666666666,18.0327868852459,14.942528735632184,12.269938650306749,13.235294117647058,11.976047904191617,14.084507042253522,17.24137931034483,15.555555555555555,6.818181818181818,11.71875,13.28125,13.333333333333334,14.754098360655737,10.526315789473685
KpneM2,20.306513409961685,29.296875,45.55555555555556,100.0,70.58823529411765,12.195121951219512,12.195121951219512,10.0,11.475409836065573,14.534883720930232,9.49367088607595,9.923664122137405,9.25925925925926,13.138686131386862,15.075376884422111,16.153846153846153,10.236220472440944,11.475409836065573,10.655737704918034,8.620689655172415,9.401709401709402,10.077519379844961
KvarM,22.264150943396228,31.153846153846153,45.955882352941174,70.58823529411765,100.0,12.195121951219512,12.195121951219512,11.666666666666666,13.114754098360656,17.441860465116278,12.658227848101266,13.740458015267176,12.345679012345679,15.602836879432624,14.285714285714286,13.432835820895523,7.086614173228346,10.655737704918034,8.19672131147541,11.764705882352942,7.6923076923076925,9.848484848484848
Pyocin L1,12.76595744680851,2.5,7.317073170731708,12.195121951219512,12.195121951219512,100.0,86.328125,28.629032258064516,29.31726907630522,11.724137931034482,11.11111111111111,4.545454545454546,12.962962962962964,0.0,22.29299363057325,20.0,16.666666666666668,33.333333333333336,16.666666666666668,20.0,0.0,16.666666666666668
Pyocin L2,12.76595744680851,2.5,7.317073170731708,12.195121951219512,12.195121951219512,86.328125,100.0,28.629032258064516,29.718875502008032,13.10344827586207,11.11111111111111,4.545454545454546,12.962962962962964,0.0,22.29299363057325,20.0,16.666666666666668,33.333333333333336,16.666666666666668,20.0,0.0,16.666666666666668
LlpA BW11M1,12.121212121212121,11.864406779661017,11.666666666666666,10.0,11.666666666666666,28.629032258064516,28.629032258064516,100.0,30.147058823529413,16.44736842105263,7.936507936507937,4.545454545454546,11.11111111111111,13.333333333333334,15.730337078651685,30.0,27.272727272727273,18.75,12.5,20.0,13.333333333333334,12.5
Pyocin L3,13.432835820895523,16.666666666666668,18.0327868852459,11.475409836065573,13.114754098360656,29.31726907630522,29.718875502008032,30.147058823529413,100.0,17.197452229299362,12.5,0.0,14.0625,13.636363636363637,20.108695652173914,6.666666666666667,12.5,33.333333333333336,16.666666666666668,6.666666666666667,22.727272727272727,21.73913043478261
Pyocin S6,10.294117647058824,12.195121951219512,14.942528735632184,14.534883720930232,17.441860465116278,11.724137931034482,13.10344827586207,16.44736842105263,17.197452229299362,100.0,15.241635687732343,16.115702479338843,15.750915750915752,17.131474103585656,19.54022988505747,14.814814814814815,17.063492063492063,18.34862385321101,17.194570135746606,13.294797687861271,12.775330396475772,18.772563176895307
Colicin E7,14.795918367346939,12.962962962962964,12.269938650306749,9.49367088607595,12.658227848101266,11.11111111111111,11.11111111111111,7.936507936507937,12.5,15.241635687732343,100.0,67.82945736434108,77.00348432055749,28.923076923076923,25.0,13.311688311688311,13.311688311688311,17.24137931034483,20.610687022900763,14.767932489451477,16.602316602316602,17.484662576687118
Colicin E3,14.457831325301205,14.705882352941176,13.235294117647058,9.923664122137405,13.740458015267176,4.545454545454546,4.545454545454546,4.545454545454546,0.0,16.115702479338843,67.82945736434108,100.0,86.94817658349328,28.6144578313253,26.10062893081761,13.291139240506329,13.924050632911392,16.22641509433962,19.924812030075188,12.863070539419088,16.34980988593156,17.575757575757574
Colicin E2,13.5,11.44578313253012,11.976047904191617,9.25925925925926,12.345679012345679,12.962962962962964,12.962962962962964,11.11111111111111,14.0625,15.750915750915752,77.00348432055749,86.94817658349328,100.0,31.097560975609756,25.62674094707521,12.5,14.423076923076923,17.624521072796934,21.374045801526716,13.924050632911392,16.602316602316602,19.631901840490798
